PENJUALAN TAHUN 2017,,,,,,,,,,,,
Produk,Bulan,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
LCD,2,5,1,5,2,0,1,5,0,1,0,4
LED,4,0,1,1,0,0,3,2,0,0,5,5
Mesin Cuci,4,2,3,4,4,2,3,7,2,4,2,5
Lemari Es,6,8,4,6,6,5,2,7,4,7,3,6
DVD,3,5,1,7,2,3,7,1,7,4,2,4
MIC,3,6,1,0,0,0,0,0,0,0,0,0
Speaker,3,5,4,3,1,3,6,0,2,4,0,7
Magicom,0,0,2,0,0,0,3,1,0,0,0,1
AC,3,1,0,2,0,1,4,1,3,1,0,4
Laptop,0,2,0,0,0,0,1,0,3,0,1,0
HP,0,0,0,0,0,0,0,1,0,1,1,0
Blender,0,1,0,0,0,0,2,0,0,1,1,1
Kipas Angin,0,0,0,0,0,0,0,0,0,0,0,2
Printer,1,1,2,0,0,0,3,0,2,0,2,1
CTV,6,10,4,9,5,7,6,5,3,11,2,4
Setrika,0,1,0,0,0,0,0,0,0,0,0,0
Dispenser,0,0,0,0,0,0,0,0,0,0,2,0
Mixer,0,1,0,0,0,0,1,0,0,0,0,0
Handycam,0,1,0,0,0,0,0,0,0,0,3,0
Home Theater,0,3,1,0,0,0,0,0,0,0,1,0
Tape,0,0,0,0,0,0,0,0,0,0,1,0
Mesin,0,0,0,0,0,0,3,0,0,2,3,0
